title,authors,categories,publishedDate
Bring Your Own Devices (BYOD) Survival Guide,Jessica Keyes,Business & Economics,4/19/2016
Enterprise 2.0,Jessica Keyes,Business & Economics,4/19/2016
The CIO s Guide to Oracle Products and Solutions,Jessica Keyes,Business & Economics,9/2/2014
Implementing the IT Balanced Scorecard,Jessica Keyes,Computers,4/19/2016
Implementing the Project Management Balanced Scorecard,Jessica Keyes,Business & Economics,7/20/2010
Social Software Engineering,Jessica Keyes,Computers,4/19/2016
The Corporate Directory of US Public Companies 1995,Jessica Keyes,Computers,4/19/2016
"World War II: the Encyclopedia of the War Years, 1941-1945",Elizabeth Walsh,Business & Economics,6/11/2016
American Predator,"Norman Polmar ,  Thomas B. Allen",History,8/15/2012
Next-Generation Biofuels,Maureen Callahan,True Crime,7/2/2019
"Casenote Legal Briefs for Business Organizations, Keyed to Smiddy and Cunningham",William T. Coyle,Alcohol as fuel,9/1/2010
No Oath Sworn,Casenote Legal Briefs,Law,3/15/2011
A Handbook for the Study of Mental Health,Phil Geusz,Fiction,12/1/2012
Foundations of Professional Psychology,"Teresa L. Scheid ,  Eric R. Wright",Medical,6/8/2017
Epidemiology Matters,Timothy P Melchert,Psychology,7/12/2011
Science Fiction and Fantasy Literature,Jessica Keyes,Computers,4/19/2016
Independence Day: Crucible,"Katherine M. Keyes ,  Sandro Galea",Medical,6/17/2014
The Mammoth Encyclopedia of Science Fiction,"R. Reginald ,  Douglas Menville ,  Mary A. Burgess",Reference,9/1/2010
The Mystery of Mercy Close,Greg Keyes,Fiction,5/27/2016
The Routledge Handbook of Stylistics,George Mann,Fiction,3/1/2012
The Liberation Trilogy Box Set,Marian Keyes,Fiction,4/9/2013
Legacy Discovered,Michael Burke,Language Arts & Disciplines,11/27/2017
Sammy Keyes and the Kiss Goodbye,Rick Atkinson,History,10/22/2013
Synergic Integration of Formal and Informal E-Learning Environments for Adult Lifelong Learners,Kerry Reis,Fiction,9/1/2013
Kill Rommel!,Wendelin Van Draanen,Juvenile Fiction,9/9/2014
School as Community,"Leone, Sabrina",Education,10/31/2013
Euphemania,Maureen Callahan,True Crime,7/2/2019
Complex Justice,Gavin Mortimer,History,2/20/2014
"Five Miles Away, A World Apart",Gail Furman,Education,2/1/2012
A University of Tradition,Ralph Keyes,Language Arts & Disciplines,12/14/2010
Biology of the Uterus,Joshua M. Dunn,Political Science,9/1/2012
Prophets of Agroforestry,James E. Ryan,Education,8/6/2010
Human Biology,Purdue Reamer Club,Education,11/1/2012
"Casenote Legal Briefs for Sports Law, Keyed to Weiler, Roberts, Abrams, and Ross","W. Jollie ,  R.M. Wynn",Medical,6/29/2013
"Casenote Legal Briefs for Taxation, Keyed to Freeland, Lathrope, and Stephens",Richard K. Reed,History,2/19/2014
Delirium,"Sara Stinson ,  Barry Bogin , ""Dennis H. O Rourke""]",Social Science,3/19/2012
"Casenote Legal Briefs for Property Keyed to Dukeminier, Krier, Alexander, Schill, Strahilevitz",Casenote Legal Briefs,Law,2/28/2011
"Family Law, Keyed to Weisberg and Appleton s",Casenote Legal Briefs,Law,11/15/2013
Saved by Cake,Nancy L. Cohen,Political Science,9/1/2012
Textbook of Operative Dentistry,Casenote Legal Briefs,Law,9/15/2017
Parasitic Orobanchaceae,"Casenotes ,  Casenote Legal Briefs",Law,3/3/2010
"The Handbook of Life-Span Development, Volume 1",Marian Keyes,Cooking,4/2/2013
Get Rommel,"Nisha Garg ,  Amit Garg",Medical,8/1/2010
Advances in Imaging and Electron Physics,Kerry Reis,Fiction,9/1/2013
The Complete Guide to Blender Graphics,"Daniel M. Joel ,  Jonathan Gressel ,  Lytton J. Musselman",Science,7/1/2013
"Organic Chemistry, Volume One","Richard M. Lerner ,  Willis F. Overton",Psychology,12/14/2010
Imperfect Chemistry,Michael Asher,History,12/1/2011
Handbook of Social Indicators and Quality of Life Research,Peter W. Hawkes,Technology & Engineering,7/29/2011
The Woman Who Stole My Life,John M. Blain,Computers,4/15/2019
Data Science on the Google Cloud Platform,Frank C. Whitmore,Science,11/13/2012
The Oxford Handbook of Research Strategies for Clinical Psychology,Mary Frame,Fiction,4/23/2014
Data Science and Knowledge Engineering for Sensing Decision Support,"Kenneth C. Land ,  Alex C. Michalos ,  M. Joseph Sirgy",Social Science,11/25/2011
"Retail Crime, Security, and Loss Prevention",Marian Keyes,Fiction,11/6/2014
Selected Areas in Cryptography -- SAC 2013,Valliappa Lakshmanan,Computers,12/12/2017
Modern Concepts of Security,"Jonathan S. Comer ,  Philip C. Kendall",Psychology,3/26/2013
"Emanuel Law Outlines for Civil Procedure, Keyed to Yeazell","Jun Liu ,  Jie Lu ,  Yang Xu ,  Luis Martinez ,  Etienne E Kerre",Computers,7/26/2018
Civil Procedure,"Charles A. Sennewald ,  John H. Christman",Social Science,8/29/2011
"Casenote Legal Briefs for Civil Procedure, Keyed to Friedenthal, Miller, Sexton, and Hershkoff","Tanja Lange ,  Kristin Lauter ,  Petr Lisoněk",Computers,5/20/2014
"Casenote Legal Briefs for Civil Procedure Keyed to Hazard, Tait, Fletcher and Bundy",James Ohwofasa Akpeninor,Philosophy,6/1/2012
"Casenote Legal Briefs for Civil Procedure Keyed to Subrin, Minow, Brodin, Main, and Lahav",John T. Cross,Law,6/13/2016
"Casenote Legal Briefs for Civil Procedure, Keyed to Yeazell and Schwartz","Casenotes ,  Casenote Legal Briefs",Law,8/1/2010
Tales From Boilermaker Country: A Collection of the Greatest Stories Ever Told,Casenote Legal Briefs,Law,12/29/2018
War Football,Casenote Legal Briefs,Law,5/3/2010
African Americans in Sports,Casenote Legal Briefs,Law,8/31/2016
"Casenote Legal Briefs for Torts, Keyed to Goldberg Sebok and Ziprusky",Casenote Legal Briefs,Law,2/25/2019
"Casenote Legal Briefs for Contracts, Keyed to Calamari, Periilo, Bender, and Brown",Wendelin Van Draanen,Juvenile Fiction,9/9/2014
Programming Python,Doug Griffiths,Music,1/31/2012
Mastering Python for Networking and Security,Chris Serb,Sports & Recreation,6/26/2019
SAS Viya,David K. Wiggins,History,3/26/2015
Python Programming for Arduino,Casenote Legal Briefs,Law,2/28/2011
Effective Python,Casenote Legal Briefs,Law,11/15/2013
Python Web Scraping Cookbook,Casenote Legal Briefs,Law,7/20/2016
Topics in Cryptology – CT-RSA 2018,Casenote Legal Briefs,Law,10/11/2011
Python All-in-One For Dummies,Mark Lutz,Computers,12/14/2010
"Understanding the Interactive Digital Media Marketplace: Frameworks, Platforms, Communities and Issues",José Manuel Ortega,Computers,9/28/2018
The Nature of Symbiotic Stars,"Kevin D. Smith ,  Xiangxiang Meng",Computers,2/8/2018
A Life of Barbara Stanwyck,Pratik Desai,Computers,2/27/2015
From the Dreadnought to Scapa Flow,Brett Slatkin,Computers,2/12/2015
Sammy Keyes and the Wedding Crasher,Michael Heydt,Computers,2/9/2018
Smart Phone and Next Generation Mobile Computing,Nigel P. Smart,Computers,7/4/2018
Casenote Legal Briefs for Criminal Procedure Keyed to Dressler and Thomas,"John Shovic ,  Alan Simpson",Computers,5/7/2019
"The Complete Book of Locks and Locksmithing, Seventh Edition","Sharma, Ravi S.",Computers,10/31/2011
"Casenote Legal Briefs for Contracts, Keyed to Knapp, Crystal, and Prince",Jessica Keyes,Business & Economics,4/19/2016
Politics in Pacific Asia,"M. Friedjung ,  Roberto Viotti",Science,12/6/2012
"Music, Education, and Religion",Victoria Wilson,Biography & Autobiography,11/12/2013
Whose God Rules?,Arthur J Marder,History,6/13/2014
Devonshire Scream,Jessica Keyes,Business & Economics,4/19/2016
"Food in the Movies, 2d ed.",Wendelin Van Draanen,Juvenile Fiction,10/12/2010
The Jamestown Furniture Industry,"Pei Zheng ,  Lionel Ni",Computers,7/19/2010
The Complete Guide to Physical Security,Casenote Legal Briefs,Law,6/5/2017
The Official (ISC)2 Guide to the SSCP CBK,Bill Phillips,Technology & Engineering,10/21/2016
Information Security and Cryptology - ICISC 2011,Casenote Legal Briefs,Law,5/7/2019
Engineering Information Security,"X. Huang ,  Jason Young",Political Science,11/4/2016
Analyzing the Hospital Life Safety Survey,"Alexis Anja Kallio ,  Philip Alperson ,  Heidi Westerlund",Music,10/1/2019
Halo: The Cole Protocol,"N. Walker ,  E. Greenlee",Social Science,12/14/2011
Role Development in Professional Nursing Practice,Michael Asher,History,12/1/2011
A Question of Identity,Wendelin Van Draanen,Juvenile Fiction,10/12/2010
"Billy Wilder, Movie-Maker",Laura Childs,Fiction,3/1/2016
"Soulsville, U.S.A.: The Story of Stax Records",Steve Zimmerman,Performing Arts,7/28/2010
Three Classic Thrillers 3-Book Bundle,Clarence Carlson,History,1/28/2014
Love Inspired Suspense December 2014 - Box Set 1 of 2,"Paul R. Baker ,  Daniel J. Benny",Business & Economics,4/19/2016
Cold Case Justice,Jessica Keyes,Business & Economics,4/19/2016
Sammy Keyes and the Night of Skulls,"Adam Gordon ,  Steven Hernandez",Computers,5/16/2016
Asset Protection through Security Awareness,Howon Kim,Computers,7/16/2012
"Finance and Development, December 2013",Stuart Jacobs,Technology & Engineering,10/31/2011
Stand By Me,Brad Keyes,Medical,1/1/2011
The E-Myth Revisited (Limadha tafshal mu’dham al-sharikat al-saghira?),"Eric Nylund ,  Tobias S. Buckell",Fiction,5/13/2011
Happiness Key,Kathleen Masters,Medical,11/18/2015
Handbook of Research Methods and Applications in Happiness and Quality of Life,Susan Hill,Fiction,10/25/2012
The Routledge Handbook of Positive Communication,Wendelin Van Draanen,Juvenile Fiction,9/9/2014
All for the Union,Karen McNally,Performing Arts,1/10/2014
"Advances in Computing and Communications, Part IV",Rob Bowman,Music,8/1/2011
Basic TV Technology,John Grisham,Fiction,12/19/2011
The Gamification of Work,Wendelin Van Draanen,Juvenile Fiction,9/9/2014
Anthropological Practice,"Shirlee McCoy ,  Sharon Dunn ,  Alison Stone",Fiction,12/1/2014
Apple TV Portable Genius,Sharon Dunn,Fiction,12/2/2014
Human Motivation and Interpersonal Relationships,Wendelin Van Draanen,Juvenile Fiction,10/11/2011
Sexual Symmetry,Tyler Justin Speed,Business & Economics,4/19/2016
Beginning Blender,International Monetary Fund. External Relations Dept.,Business & Economics,1/3/2014
"Grief Counseling and Grief Therapy, Fifth Edition","""Sheila O Flanagan""]",Fiction,2/9/2010
Advanced Practice Nursing in the Care of Older Adults,Michael E. Gerber,Business & Economics,4/7/2016
Small Treasons,Emilie Richards,Fiction,6/1/2010
Sammy Keyes and the Power of Justice Jack,"Luigino Bruni ,  Pier Luigi Porta",Business & Economics,4/29/2016
Principles and Practice of Grief Counseling,"José Antonio Muñiz Velázquez ,  Cristina M. Pulido",Language Arts & Disciplines,12/17/2018
"Transforming Engagement, Happiness and Well-Being",Elisha Hunt Rhodes,History,11/17/2010
Beauty and Sadness,"Ajith Abraham ,  Jaime Lloret Mauri ,  John Buford ,  Junichi Suzuki ,  Sabu M. Thampi",Computers,7/6/2011
Genetics of Psychological Well-Being,Robert L Hartwig,Performing Arts,11/12/2012
Encyclopedia of Genetics,Emmanuelle Savignac,Business & Economics,2/21/2017
Cardiovascular Genetics and Genomics in Clinical Practice,Judith Okely,Social Science,9/12/2013
"Reproductive Genetics, Gender and the Body",Guy Hart-Davis,Computers,12/17/2012
Invisible Master,Netta Weinstein,Psychology,7/8/2014
Man of the Mist,David Konstan,History,7/14/2014
The Science of the Soul in Colonial New England,Lance Flavell,Computers,12/30/2010
How to Teach Meditation to Children,"J. William Worden, PhD, ABPP",Social Science,5/28/2018
Human Rights in Thailand,"Laruie Kennedy-Malone ,  Lori Martin-Plank ,  Evelyn Duffy",Medical,10/31/2018
Thailand s International Meditation Centers,Mark Powell,Fiction,6/6/2017
Meditation For Dummies,Wendelin Van Draanen,Juvenile Fiction,7/10/2012
Yoga and Science in Pain Care,"Howard R. Winokuer, PhD ,  Darcy L. Harris, PhD, FT",Social Science,2/14/2012
The Color Correction Handbook,"William Scott-Jackson ,  Andrew Mayo",Business & Economics,8/1/2017
Flowers for Algernon: A Novel by Daniel Keyes (Trivia-On-Books),Wendelin Van Draanen,Juvenile Fiction,9/9/2014
The Reporter’s Notebook,Yasunari Kawabata,Fiction,2/20/2013
Manga for the Beginner Shoujo,Michael Pluess,Psychology,6/18/2015
Ideas que pegan,Eric C.R. Reeve,Reference,1/14/2014
Cyber Ireland,"Donna K. Arnett, PhD ,  Sanjiv J. Shah, MD",Medical,11/10/2014
The Shining Wall,Elizabeth Ettorre,Medical,4/15/2013
Programming Android,Leo Lyon Zagami,"Body, Mind & Spirit",8/6/2018
Raspberry Pi Android Projects,Elizabeth Mayne,Fiction,7/15/2011
How to Build an Android,Wendelin Van Draanen,Juvenile Fiction,10/11/2011
Beginning iPhone Development,Sarah Rivett,History,12/1/2012
Beginning iPhone Development with Swift,Wendelin Van Draanen,Juvenile Fiction,9/9/2014
Beginning iPhone Development with Swift 3,"David Fontana ,  Ingrid Slack","Body, Mind & Spirit",9/21/2017
Beginning iPhone Development with Swift 4,Don F. Selby,Political Science,4/4/2018
Beginning iPhone 4 Development,Brooke Schedneck,Social Science,5/15/2015
iPhone Advanced Projects,Stephan Bodian,"Body, Mind & Spirit",3/3/2011
The Collector,"Neil Pearson ,  Shelly Prosko ,  Marlysa Sullivan",Health & Fitness,8/21/2019
Android Mobile Computing Using Samsung Tablets and Smartphones Running Android 2.3,Alexis Van Hurkman,Computers,11/15/2010
My Samsung Galaxy S5,Trivion Books,Study Aids,9/7/2016
My Samsung Galaxy S 4,Dennis Bloodworth,Travel,9/2/2010
My Samsung Galaxy Tab 4,Christopher Hart,Art,7/5/2011
How to Do Everything Samsung Galaxy Tab,"Chip Heath ,  Dan Heath",Business & Economics,5/1/2011
The PC and Gadget Help Desk,C. Lynch,Social Science,11/13/2014
Android Tips and Tricks,Melissa Ferguson,Fiction,4/1/2019
Teach Yourself VISUALLY Android Phones and Tablets,"Zigurd Mednieks ,  Laird Dornin ,  G. Blake Meike ,  Masumi Nakamura",Computers,7/29/2011
"The Healthy PC: Preventive Care, Home Remedies, and Green Computing, 2nd Edition",Gokhan Kurt,Computers,9/25/2015
Bullying in North American Schools,David F. Dufty,Technology & Engineering,6/5/2012
Criminology Goes to the Movies,Jessica Keyes,Business & Economics,4/19/2016
Shades of Gray,"Jack Nutting ,  Fredrik Olsson ,  David Mark ,  Jeff LaMarche ,  Kim Topley",Computers,11/17/2014
Tyler Perry,"Kim Topley ,  Fredrik Olsson ,  Jack Nutting ,  David Mark ,  Jeff LaMarche",Computers,11/22/2014
Costume Design in the Movies,"Molly Maskrey ,  Kim Topley ,  David Mark ,  Fredrik Olsson ,  JEFF LAMARCHE",Computers,11/17/2016
Godzilla: King of the Monsters - the Official Movie Novelisation,Molly K. Maskrey,Computers,10/24/2017
"Billy Wilder, American Film Realist","David Mark ,  Jeff LaMarche ,  Jack Nutting",Computers,8/5/2011
A Divided World,"David Mark ,  Dylan Bruzenak ,  Joachim Bondo ,  Owen Goss ,  Peter Honeder ,  Ray Kiddy ,  Steve Finkelstein ,  Tom Harrington ,  Jonathan Saggau ,  Noel Llopis ,  Ben Smith ,  Joe Pezzillo ,  Florian Pflug ,  Roderick Smith",Computers,4/30/2010
Quantum Roots,Scott Wittenburg,Fiction,2/1/2012
"Casenote Legal Briefs for Contracts, Keyed to Crandall and Whaley",Rene Djurup,Computers,1/1/2013
Quantum Mechanics with Applications to Nanotechnology and Information Science,Steve Schwartz,Computers,8/12/2014
Queer Ecologies,Steve Schwartz,Computers,8/7/2013
"Nimble, Focused, Feisty","Eric Butow ,  Lonzell Watson",Computers,10/1/2014
Light Absorption of Organic Colorants,Guy Hart-Davis,Computers,3/28/2011
The History of the Renaissance World: From the Rediscovery of Aristotle to the Conquest of Constantinople,Mark Edward Soper,Computers,10/4/2014
Beyond Our Means,Guy Hart-Davis,Computers,12/15/2014
Adobe Premiere Pro CS4 Classroom in a Book,"Paul McFedries ,  Guy Hart-Davis",Computers,6/17/2013
Adobe After Effects CC Classroom in a Book (2014 release),Guy Hart-Davis,Computers,11/3/2011
Adobe Kroger,"Dorothy L. Espelage ,  Susan M. Swearer",Education,10/18/2010
Adobe ColdFusion Anthology,"Nicole Rafter ,  Michelle Brown",Law,9/1/2011
Race and Ethnicity in America: From Pre-contact to the Present 4 volumes],Daniel Veirs,Fiction,7/23/2014
Arid Land Geom: Geom Crit Conc,Janice D. Hamlet,Performing Arts,10/15/2019